2025-10-14 09:44:41 | INFO | MainThread | Application startup - debug logging enabled
2025-10-14 09:44:42 | INFO | MainThread | Config.txt found - Terms of Use previously accepted
2025-10-14 09:44:42 | INFO | MainThread | Global Hotkeys Initialized and Active.
2025-10-14 09:44:42 | INFO | MainThread | Color displays initialized successfully
2025-10-14 09:44:57 | INFO | MainThread | Configuration saved to Config.txt.
2025-10-14 09:44:57 | INFO | MainThread | Configuration saved to Config.txt.
2025-10-14 09:44:58 | INFO | MainThread | Configuration saved to Config.txt.
2025-10-14 09:45:04 | INFO | MainThread | Hotkey 'F4' pressed for action: START/STOP.
2025-10-14 09:45:04 | INFO | MainThread | Script Start triggered. Initial state: IDLE
2025-10-14 09:45:04 | INFO | MainThread | Monitor Info - Virtual: -1920,0 6400x1440
2025-10-14 09:45:04 | INFO | MainThread | Monitor Info - Primary: 2560x1440
2025-10-14 09:45:04 | INFO | MainThread | Monitor Info - Virtual: -1920,0 6400x1440
2025-10-14 09:45:04 | INFO | MainThread | Monitor Info - Primary: 2560x1440
2025-10-14 09:45:04 | INFO | MainThread | === MONITOR DEBUG INFO ===
2025-10-14 09:45:04 | INFO | MainThread | Virtual Desktop: (-1920, 0) 6400x1440
2025-10-14 09:45:04 | INFO | MainThread | Primary Monitor: 2560x1440
2025-10-14 09:45:04 | INFO | MainThread | Number of monitors detected: 3
2025-10-14 09:45:04 | INFO | MainThread | DPI Awareness: Could not determine
2025-10-14 09:45:04 | INFO | MainThread | GUI Geometry: 474x926+10+241
2025-10-14 09:45:04 | INFO | MainThread | Shake Geometry Setting: 1589x792+466+284
2025-10-14 09:45:04 | INFO | MainThread | Fish Geometry Setting: 1034x48+764+1171
2025-10-14 09:45:04 | INFO | MainThread | Live Feed Position: +760+1033
2025-10-14 09:45:04 | INFO | MainThread | === END MONITOR DEBUG INFO ===
2025-10-14 09:45:04 | INFO | MainThread | Monitor configuration refreshed for new automation session
2025-10-14 09:45:04 | INFO | MainThread | === AUTOMATION START DEBUG ===
2025-10-14 09:45:04 | INFO | MainThread | Initial state: IDLE
2025-10-14 09:45:04 | INFO | MainThread | Shake mode: Click
2025-10-14 09:45:04 | INFO | MainThread | Auto cast enabled: True
2025-10-14 09:45:04 | INFO | MainThread | Auto shake enabled: True
2025-10-14 09:45:04 | INFO | MainThread | Navigation has run once: False
2025-10-14 09:45:04 | INFO | MainThread | === END AUTOMATION START DEBUG ===
2025-10-14 09:45:04 | INFO | MainThread | Auto Zoom In: Starting zoom sequence (10 up, 1 down)
2025-10-14 09:45:04 | INFO | MainThread | Monitor Info - Virtual: -1920,0 6400x1440
2025-10-14 09:45:04 | INFO | MainThread | Monitor Info - Primary: 2560x1440
2025-10-14 09:45:04 | INFO | MainThread | Auto Zoom In: Using current mouse position (1535, 1027)
2025-10-14 09:45:04 | INFO | MainThread | Auto Zoom In: Scrolling at position (1535, 1027)
2025-10-14 09:45:05 | INFO | MainThread | Auto Zoom In: Physical scroll up 1/10
2025-10-14 09:45:05 | INFO | MainThread | Auto Zoom In: Physical scroll up 2/10
2025-10-14 09:45:05 | INFO | MainThread | Auto Zoom In: Physical scroll up 3/10
2025-10-14 09:45:05 | INFO | MainThread | Auto Zoom In: Physical scroll up 4/10
2025-10-14 09:45:05 | INFO | MainThread | Auto Zoom In: Physical scroll up 5/10
2025-10-14 09:45:05 | INFO | MainThread | Auto Zoom In: Physical scroll up 6/10
2025-10-14 09:45:05 | INFO | MainThread | Auto Zoom In: Physical scroll up 7/10
2025-10-14 09:45:05 | INFO | MainThread | Auto Zoom In: Physical scroll up 8/10
2025-10-14 09:45:05 | INFO | MainThread | Auto Zoom In: Physical scroll up 9/10
2025-10-14 09:45:05 | INFO | MainThread | Auto Zoom In: Physical scroll up 10/10
2025-10-14 09:45:05 | INFO | MainThread | Auto Zoom In: Physical scroll down 1/1
2025-10-14 09:45:05 | INFO | MainThread | Auto Zoom In: Zoom sequence completed successfully
2025-10-14 09:45:05 | INFO | MainThread | Control thread started successfully at 100 FPS.
2025-10-14 09:45:05 | INFO | Thread-3 (_control_thread_run) | CLICK_MODE DEBUG: Current state=IDLE, using Click mode flow
2025-10-14 09:45:05 | INFO | Thread-3 (_control_thread_run) | Rod Refresh: Starting sequence with 0.3s delays
2025-10-14 09:45:05 | INFO | Thread-3 (_control_thread_run) | Rod Refresh: Pressing key '2'
2025-10-14 09:45:06 | INFO | Thread-3 (_control_thread_run) | Rod Refresh: Pressing key '1'
2025-10-14 09:45:06 | INFO | Thread-3 (_control_thread_run) | Rod Refresh: Sequence completed
2025-10-14 09:45:06 | INFO | Thread-3 (_control_thread_run) | CLICK_MODE: HOLD (1.0s) (with rod refresh)
2025-10-14 09:45:06 | INFO | Thread-3 (_control_thread_run) | CLICK_MODE: RELEASE (2.0s wait) - rod cast time recorded
2025-10-14 09:45:07 | INFO | Thread-3 (_control_thread_run) | AutoShake: Found STRICT circle at local (330, 462) with radius 74
2025-10-14 09:45:07 | INFO | Thread-3 (_control_thread_run) | AutoShake Debug: ShakeArea at (466,284) size 1589x792
2025-10-14 09:45:07 | INFO | Thread-3 (_control_thread_run) | AutoShake Debug: Using Circle detection mode
2025-10-14 09:45:07 | INFO | Thread-3 (_control_thread_run) | AutoShake Debug: Found target at local (330,462) -> screen (796,746)
2025-10-14 09:45:07 | INFO | Thread-3 (_control_thread_run) | Monitor Info - Virtual: -1920,0 6400x1440
